danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,retro
0.637,0.843,5,-5.413,0.0432,0.0151,0,0.0876,0.434,109.012,4,False
0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01,4,False
0.5,0.418,0,-6.535,0.0377,0.566,0.000193,0.11,0.176,84.899,4,False
0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,4,False
0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,False
0.258,0.631,5,-6.617,0.0541,0.281,0,0.127,0.266,189.583,4,False
0.575,0.33,7,-6.557,0.031,0.416,0,0.0872,0.277,95.801,4,False
0.6,0.663,3,-5.802,0.0477,0.225,0,0.119,0.286,121.07,4,False
0.494,0.951,9,-4.237,0.132,0.000569,0,0.327,0.441,160.025,4,False
0.692,0.809,2,-4.198,0.0602,0.524,0,0.147,0.864,123.911,4,False
0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,4,False
0.652,0.802,7,-6.114,0.181,0.0871,6.45e-06,0.148,0.295,170.157,4,False
0.694,0.712,7,-3.923,0.046,0.132,0,0.211,0.799,98.023,4,False
0.61,0.683,2,-3.879,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,4,False
0.687,0.702,7,-5.324,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,4,False
0.842,0.734,1,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,4,False
0.752,0.678,5,-5.421,0.0646,0.085,1.64e-06,0.13,0.583,96.009,4,False
0.596,0.854,7,-5.114,0.463,0.0169,0,0.124,0.152,120.274,4,False
0.857,0.8,2,-4.035,0.0583,0.381,0,0.0913,0.966,121.996,4,False
0.688,0.806,4,-2.628,0.0921,0.0102,0,0.104,0.85,125.006,4,False
0.383,0.637,3,-6.993,0.0703,0.0722,0,0.368,0.0827,177.913,4,False
0.501,0.405,1,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,False
